날짜,발전기ID,운영상태,가동상태,최근점검일,다음점검예정일,발전기나이(년)
2023-01-01,GEN_001,정상운영,운전,2022-12-22,2023-01-24,10
2023-01-01,GEN_002,정상운영,운전,2022-12-12,2023-01-28,9
2023-01-01,GEN_003,점검중,운전,2022-12-18,2023-01-22,2
2023-01-01,GEN_004,정상운영,운전,2022-12-04,2023-01-12,10
2023-01-01,GEN_005,정상운영,정지,2022-12-20,2023-01-22,4
2023-01-01,GEN_006,정상운영,정지,2022-12-28,2023-01-14,9
2023-01-01,GEN_007,정비중,운전,2022-12-11,2023-01-26,9
2023-01-01,GEN_008,정상운영,운전,2022-12-04,2023-01-17,14
2023-01-01,GEN_009,고장,운전,2022-12-04,2023-01-15,9
2023-01-01,GEN_010,정상운영,운전,2022-12-05,2023-01-15,10
2023-01-02,GEN_001,정상운영,운전,2022-12-28,2023-01-12,13
2023-01-02,GEN_002,정비중,운전,2022-12-11,2023-01-13,9
2023-01-02,GEN_003,정상운영,운전,2022-12-16,2023-01-20,12
2023-01-02,GEN_004,정상운영,운전,2022-12-05,2023-01-19,10
2023-01-02,GEN_005,정상운영,운전,2022-12-05,2023-01-23,2
2023-01-02,GEN_006,정상운영,정지,2022-12-28,2023-01-15,13
2023-01-02,GEN_007,점검중,정지,2022-12-15,2023-01-19,9
2023-01-02,GEN_008,점검중,정지,2022-12-23,2023-01-30,3
2023-01-02,GEN_009,정상운영,운전,2022-12-18,2023-01-24,8
2023-01-02,GEN_010,정상운영,운전,2022-12-15,2023-01-20,10
2023-01-03,GEN_001,점검중,운전,2022-12-12,2023-01-27,14
2023-01-03,GEN_002,정비중,운전,2022-12-17,2023-01-17,13
2023-01-03,GEN_003,정상운영,운전,2022-12-06,2023-02-01,12
2023-01-03,GEN_004,정상운영,운전,2022-12-25,2023-01-20,4
2023-01-03,GEN_005,정상운영,운전,2022-12-05,2023-01-31,13
2023-01-03,GEN_006,정상운영,운전,2022-12-07,2023-01-26,7
2023-01-03,GEN_007,점검중,운전,2022-12-18,2023-01-14,10
2023-01-03,GEN_008,정비중,운전,2022-12-22,2023-01-24,5
2023-01-03,GEN_009,정상운영,운전,2022-12-11,2023-01-16,9
2023-01-03,GEN_010,정비중,정지,2022-12-16,2023-01-24,8
2023-01-04,GEN_001,정상운영,운전,2022-12-14,2023-01-28,12
2023-01-04,GEN_002,정상운영,운전,2022-12-27,2023-01-22,12
2023-01-04,GEN_003,점검중,운전,2022-12-31,2023-01-24,14
2023-01-04,GEN_004,정상운영,대기,2022-12-30,2023-01-17,12
2023-01-04,GEN_005,정상운영,운전,2023-01-02,2023-01-22,11
2023-01-04,GEN_006,정상운영,운전,2022-12-29,2023-01-20,11
2023-01-04,GEN_007,고장,운전,2022-12-18,2023-01-27,9
2023-01-04,GEN_008,정비중,운전,2022-12-19,2023-01-14,4
2023-01-04,GEN_009,정상운영,운전,2023-01-03,2023-01-25,2
2023-01-04,GEN_010,정비중,운전,2022-12-27,2023-01-30,7
2023-01-05,GEN_001,정상운영,운전,2022-12-19,2023-01-17,11
2023-01-05,GEN_002,정상운영,운전,2022-12-15,2023-01-21,8
2023-01-05,GEN_003,정상운영,운전,2022-12-16,2023-01-20,4
2023-01-05,GEN_004,정상운영,운전,2022-12-22,2023-01-31,11
2023-01-05,GEN_005,정상운영,운전,2022-12-26,2023-01-22,14
2023-01-05,GEN_006,정상운영,대기,2022-12-17,2023-01-23,4
2023-01-05,GEN_007,정상운영,대기,2022-12-19,2023-01-24,10
2023-01-05,GEN_008,정상운영,운전,2022-12-09,2023-01-26,8
2023-01-05,GEN_009,정상운영,운전,2022-12-13,2023-01-31,10
2023-01-05,GEN_010,정상운영,운전,2022-12-16,2023-01-28,10
2023-01-06,GEN_001,정상운영,대기,2022-12-31,2023-01-22,6
2023-01-06,GEN_002,정상운영,운전,2022-12-30,2023-01-24,5
2023-01-06,GEN_003,점검중,운전,2022-12-29,2023-01-23,13
2023-01-06,GEN_004,정상운영,정지,2022-12-30,2023-01-17,5
2023-01-06,GEN_005,정비중,운전,2022-12-13,2023-01-28,6
2023-01-06,GEN_006,고장,운전,2022-12-29,2023-01-16,13
2023-01-06,GEN_007,정비중,운전,2022-12-16,2023-01-28,2
2023-01-06,GEN_008,정상운영,운전,2022-12-14,2023-01-17,6
2023-01-06,GEN_009,정비중,운전,2022-12-16,2023-01-25,14
2023-01-06,GEN_010,정상운영,운전,2022-12-24,2023-01-23,3
2023-01-07,GEN_001,정상운영,운전,2022-12-10,2023-01-30,3
2023-01-07,GEN_002,정상운영,운전,2023-01-05,2023-01-29,11
2023-01-07,GEN_003,정상운영,운전,2022-12-10,2023-01-18,10
